date,country,value
2017-09-01,"Hong Kong, China",46572.6162298005
2017-10-01,"Hong Kong, China",44265.216611183
2017-11-01,"Hong Kong, China",46274.1363156836
2017-12-01,"Hong Kong, China",47284.879498721
2018-01-01,"Hong Kong, China",48375.4449378571
2018-02-01,"Hong Kong, China",46883.9642842816
2018-03-01,"Hong Kong, China",47839.2660191554
2018-04-01,"Hong Kong, China",47070.703649984105
2018-05-01,"Hong Kong, China",47947.106038556696
2018-06-01,"Hong Kong, China",48872.1700539767
2018-07-01,"Hong Kong, China",47561.1169608388
2018-08-01,"Hong Kong, China",48904.5311751608
2018-09-01,"Hong Kong, China",46362.80637006731
2018-10-01,"Hong Kong, China",48716.967425749295
2018-11-01,"Hong Kong, China",46118.8756134869
2018-12-01,"Hong Kong, China",43897.1309719868
2019-01-01,"Hong Kong, China",47729.333837492595
2019-02-01,"Hong Kong, China",43912.354749567
2019-03-01,"Hong Kong, China",45757.7217856468
2019-04-01,"Hong Kong, China",44890.4275991513
2019-05-01,"Hong Kong, China",44956.261421413095
2019-06-01,"Hong Kong, China",41473.2614414921
2019-07-01,"Hong Kong, China",43347.2018055982
2019-08-01,"Hong Kong, China",44453.8635898103
2019-09-01,"Hong Kong, China",43684.4168056917
2019-10-01,"Hong Kong, China",44164.0173520688
2019-11-01,"Hong Kong, China",43836.7539318138
2019-12-01,"Hong Kong, China",46533.4930859125
2020-01-01,"Hong Kong, China",36947.1813422805
2020-02-01,"Hong Kong, China",44095.5395456628
2020-03-01,"Hong Kong, China",43511.6387796919
2020-04-01,"Hong Kong, China",45071.8636960131
2006-01-01,Chinese Taipei,17297.2185737933
2006-02-01,Chinese Taipei,19924.0184385379
2006-03-01,Chinese Taipei,17528.1187050502
2006-04-01,Chinese Taipei,18857.7855663801
2006-05-01,Chinese Taipei,18664.7070263921
2006-06-01,Chinese Taipei,17750.0208363085
2006-07-01,Chinese Taipei,19026.6530312337
2006-08-01,Chinese Taipei,18716.881838009198
2006-09-01,Chinese Taipei,19613.034103303
2006-10-01,Chinese Taipei,19243.733424589198
2006-11-01,Chinese Taipei,19675.7588765776
2006-12-01,Chinese Taipei,19693.3440207836
2007-01-01,Chinese Taipei,20256.4170681377
2007-02-01,Chinese Taipei,19443.3943549301
2007-03-01,Chinese Taipei,19312.8266256831
2007-04-01,Chinese Taipei,19914.1214549951
2007-05-01,Chinese Taipei,19232.632512483502
2007-06-01,Chinese Taipei,19760.5448464852
2007-07-01,Chinese Taipei,20702.360055753998
2007-08-01,Chinese Taipei,20632.4643244969
2007-09-01,Chinese Taipei,21815.039692258102
2007-10-01,Chinese Taipei,22190.9538208166
2007-11-01,Chinese Taipei,22067.505239429902
2007-12-01,Chinese Taipei,23662.867386011298
2008-01-01,Chinese Taipei,22403.9965229153
2008-02-01,Chinese Taipei,22328.429996247003
2008-03-01,Chinese Taipei,23647.3878992692
2008-04-01,Chinese Taipei,22729.7258065906
2008-05-01,Chinese Taipei,23132.9372846012
2008-06-01,Chinese Taipei,24083.893802681898
2008-07-01,Chinese Taipei,22436.8773138202
2008-08-01,Chinese Taipei,24618.798750650698
2008-09-01,Chinese Taipei,21774.7008355252
2008-10-01,Chinese Taipei,20255.1428409609
2008-11-01,Chinese Taipei,16960.9645064684
2008-12-01,Chinese Taipei,13936.8554133402
2009-01-01,Chinese Taipei,12465.6003748662
2009-02-01,Chinese Taipei,17430.635975653502
2009-03-01,Chinese Taipei,14612.6037406761
2009-04-01,Chinese Taipei,14832.708784593799
2009-05-01,Chinese Taipei,15443.2961249307
2009-06-01,Chinese Taipei,16782.4429373054
2009-07-01,Chinese Taipei,16791.7927874531
2009-08-01,Chinese Taipei,18417.1964806573
2009-09-01,Chinese Taipei,19286.065476049498
2009-10-01,Chinese Taipei,19149.6362166555
2009-11-01,Chinese Taipei,20228.674228492
2009-12-01,Chinese Taipei,20469.035897633
2010-01-01,Chinese Taipei,21804.2228696758
2010-02-01,Chinese Taipei,21596.5376220021
2010-03-01,Chinese Taipei,22239.6162812931
2010-04-01,Chinese Taipei,21878.8885360823
2010-05-01,Chinese Taipei,24611.5999951452
2010-06-01,Chinese Taipei,22823.4116628792
2010-07-01,Chinese Taipei,23588.608443841298
2010-08-01,Chinese Taipei,23746.1120757758
2010-09-01,Chinese Taipei,22939.1896729797
2010-10-01,Chinese Taipei,23558.0675693034
2010-11-01,Chinese Taipei,24774.1543476907
2010-12-01,Chinese Taipei,24523.2993852509
2011-01-01,Chinese Taipei,25541.9867256798
2011-02-01,Chinese Taipei,26349.1097894467
2011-03-01,Chinese Taipei,26068.8515429128
2011-04-01,Chinese Taipei,27283.6927523679
2011-05-01,Chinese Taipei,26989.6050834091
2011-06-01,Chinese Taipei,25523.115727781
2011-07-01,Chinese Taipei,28053.3959646013
2011-08-01,Chinese Taipei,25642.1398163468
2011-09-01,Chinese Taipei,25376.569325620898
2011-10-01,Chinese Taipei,26391.260320846402
2011-11-01,Chinese Taipei,25037.9655549444
2011-12-01,Chinese Taipei,24547.8308622625
2012-01-01,Chinese Taipei,21290.222529329498
2012-02-01,Chinese Taipei,28701.8763761598
2012-03-01,Chinese Taipei,25188.264865565
2012-04-01,Chinese Taipei,25588.5708995464
2012-05-01,Chinese Taipei,25245.7716578902
2012-06-01,Chinese Taipei,24952.266632914103
2012-07-01,Chinese Taipei,25125.816161580897
2012-08-01,Chinese Taipei,24561.473736941098
2012-09-01,Chinese Taipei,28073.500035498902
2012-10-01,Chinese Taipei,25706.5966019107
2012-11-01,Chinese Taipei,25176.5325582767
2012-12-01,Chinese Taipei,26471.743896986
2013-01-01,Chinese Taipei,26085.1498268783
2013-02-01,Chinese Taipei,24895.822863488902
2013-03-01,Chinese Taipei,26260.1167490144
2013-04-01,Chinese Taipei,25332.028179408197
2013-05-01,Chinese Taipei,26052.596811405
2013-06-01,Chinese Taipei,27233.8507486536
2013-07-01,Chinese Taipei,25473.5355063207
2013-08-01,Chinese Taipei,25415.1899959785
2013-09-01,Chinese Taipei,25877.8489697183
2013-10-01,Chinese Taipei,25820.720940621402
2013-11-01,Chinese Taipei,26033.7787624408
2013-12-01,Chinese Taipei,26491.9308026846
2014-01-01,Chinese Taipei,24903.205233101802
2014-02-01,Chinese Taipei,26539.5931723381
2014-03-01,Chinese Taipei,27005.233633092
2014-04-01,Chinese Taipei,27202.0736747262
2014-05-01,Chinese Taipei,26297.8897213929
2014-06-01,Chinese Taipei,27666.5808140464
2014-07-01,Chinese Taipei,26988.697624290497
2014-08-01,Chinese Taipei,27830.9525264913
2014-09-01,Chinese Taipei,26820.9447964217
2014-10-01,Chinese Taipei,25896.0922053766
2014-11-01,Chinese Taipei,26854.6308475929
2014-12-01,Chinese Taipei,25599.4234296479
2015-01-01,Chinese Taipei,25779.8646161609
2015-02-01,Chinese Taipei,25074.3217609417
2015-03-01,Chinese Taipei,24539.6107027887
2015-04-01,Chinese Taipei,24203.5422748284
2015-05-01,Chinese Taipei,25379.9585912548
2015-06-01,Chinese Taipei,23564.2818234394
2015-07-01,Chinese Taipei,23506.9702001244
2015-08-01,Chinese Taipei,23546.2614487883
2015-09-01,Chinese Taipei,22582.776187043703
2015-10-01,Chinese Taipei,22925.3569478296
2015-11-01,Chinese Taipei,22019.916736029703
2015-12-01,Chinese Taipei,21813.9192999297
2016-01-01,Chinese Taipei,22599.3840427852
2016-02-01,Chinese Taipei,22608.8201260725
2016-03-01,Chinese Taipei,21760.6020256604
2016-04-01,Chinese Taipei,23003.2967972662
2016-05-01,Chinese Taipei,23065.420425992997
2016-06-01,Chinese Taipei,22991.9052547453
2016-07-01,Chinese Taipei,23720.9011162262
2016-08-01,Chinese Taipei,23728.1109574106
2016-09-01,Chinese Taipei,21920.1827181202
